cnpj,razao_social,nome_fantasia,descricao_situacao_cadastral,data_inicio_atividade,natureza_juridica,porte,municipio,uf,codigo_municipio_ibge,cnae_fiscal,cnae_fiscal_descricao,capital_social,opcao_pelo_mei,opcao_pelo_simples,erro
40230669000194,40.230.669 EMERSON PAULO SILVA FARIAS,,ATIVA,2021-01-02,Empresário (Individual),MICRO EMPRESA,BELO JARDIM,PE,2601706.0,8230001.0,"Serviços de organização de feiras, congressos, exposições e festas",1000.0,True,True,
33040635000171,BIOMERIEUX BRASIL INDUSTRIA E COMERCIO DE PRODUTOS LABORATORIAIS LTDA,BIOMERIEUX BRASIL,ATIVA,1973-05-11,Sociedade Empresária Limitada,DEMAIS,RIO DE JANEIRO,RJ,3304557.0,4645101.0,"Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios",241901660.0,,,
00010474760456,,,,,,,,,,,,,,,True
47270709000170,JOSE AMAZAN SILVA PRODUCOES E EVENTOS LTDA,JASPE,ATIVA,2022-07-25,Sociedade Empresária Limitada,MICRO EMPRESA,JARDIM DO SERIDO,RN,2405702.0,9001902.0,Produção musical,100000.0,False,True,
20852792000130,TOP SHOWS PRODUCAO MUSICAL LTDA,TOP SHOWS E EVENTOS,ATIVA,2014-08-15,Sociedade Empresária Limitada,MICRO EMPRESA,CAMPINA GRANDE,PB,2504009.0,9001902.0,Produção musical,120000.0,False,True,
17650561000139,PROEVENTOS LOCACOES E PRODUCOES ARTISTICAS LTDA,PROEVENTOS & LOCACOES,ATIVA,2013-02-27,Sociedade Empresária Limitada,MICRO EMPRESA,CARUARU,PE,2604106.0,9001906.0,Atividades de sonorização e de iluminação,120000.0,False,False,
13982184000184,PASSO DE ANJO PRODUCOES ARTISTICAS LTDA,PAPA,ATIVA,2011-07-04,Sociedade Empresária Limitada,MICRO EMPRESA,RECIFE,PE,2611606.0,9001902.0,Produção musical,99800.0,False,True,
08190328000120,EDITORA BASSET LTDA,EDITORA BASSET,ATIVA,2006-07-18,Sociedade Empresária Limitada,MICRO EMPRESA,SAO PAULO,SP,3550308.0,5823900.0,Edição integrada à impressão de revistas,1269174.0,False,False,
08905771000130,"BETO BRITO CONSULTORIA, MARKETING E PRODUCAO DE EVENTOS LTDA","BETO BRITO CONSULTORIA, MARKETING E PRODUCAO DE EVENTOS",ATIVA,2007-06-14,Sociedade Empresária Limitada,MICRO EMPRESA,MACEIO,AL,2704302.0,8230001.0,"Serviços de organização de feiras, congressos, exposições e festas",15000.0,False,True,
46654544000178,RAPHAELA SANTOS GRAVACOES E EDICOES MUSICAIS LTDA,RAPHAELA SANTOS GRAVACOES E EDICOES MUSICAIS LTDA,ATIVA,2022-06-03,Sociedade Empresária Limitada,MICRO EMPRESA,FORTALEZA,CE,2304400.0,8230001.0,"Serviços de organização de feiras, congressos, exposições e festas",30000.0,False,True,
12319583000105,CLEITON MARCELINO DE SOUZA,,INAPTA,2010-08-02,Empresário (Individual),MICRO EMPRESA,GOIANA,PE,2606200.0,9001902.0,Produção musical,250000.0,False,False,
11706770000170,ASSOCIACAO DOS FORROZEIROS E TRIOS PES DE SERRA DE CARUARU,ASFOC,ATIVA,2010-03-15,Associação Privada,DEMAIS,CARUARU,PE,2604106.0,9499500.0,Atividades associativas não especificadas anteriormente,0.0,,,
43202769000103,TA SHOWS LTDA,TA SHOWS,ATIVA,2021-08-19,Sociedade Empresária Limitada,DEMAIS,PETROLINA,PE,2611101.0,9001999.0,"Artes cênicas, espetáculos e atividades complementares não especificadas anteriormente",20000.0,,,
03729144000171,W E PRODUCOES ARTISTICAS LTDA,W E PRODUCOES ARTISTICAS,ATIVA,2000-03-24,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,EUSEBIO,CE,2304285.0,9001902.0,Produção musical,50000.0,False,False,
09769035000164,COMPANHIA PERNAMBUCANA DE SANEAMENTO,COMPESA,ATIVA,1971-08-25,Sociedade de Economia Mista,DEMAIS,RECIFE,PE,2611606.0,3600601.0,"Captação, tratamento e distribuição de água",7945812500.0,,,
07797967000195,NP TECNOLOGIA E GESTAO DE DADOS LTDA,NP TECNOLOGIA,ATIVA,2006-01-04,Sociedade Empresária Limitada,DEMAIS,SAO JOSE DOS PINHAIS,PR,4125506.0,6203100.0,Desenvolvimento e licenciamento de programas de computador não-customizáveis,5000.0,,,
65714784000165,INSTITUTO BRAS DE AVALIACOES PERICIAS DE ENGENHARIA SP,IBAPE SP,ATIVA,1979-02-16,Associação Privada,DEMAIS,SAO PAULO,SP,3550308.0,9412099.0,Outras atividades associativas profissionais,0.0,,,
00006521846426,,,,,,,,,,,,,,,True
00011576283461,,,,,,,,,,,,,,,True
06132270000132,SOLLICITA NEGOCIOS PUBLICOS LTDA,,ATIVA,2004-01-30,Sociedade Empresária Limitada,DEMAIS,SAO JOSE DOS PINHAIS,PR,4125506.0,7020400.0,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",99800.0,False,False,
00045825319468,,,,,,,,,,,,,,,True
01276330000177,KENTA INFORMATICA SA,KENTA INFORMATICA,ATIVA,1996-06-28,Sociedade Anônima Fechada,DEMAIS,PORTO ALEGRE,RS,4314902.0,6201501.0,Desenvolvimento de programas de computador sob encomenda,2000000.0,,,
09095183000140,ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A,ENERGISA,ATIVA,1966-08-24,Sociedade Anônima Aberta,DEMAIS,JOAO PESSOA,PB,2507507.0,3514000.0,Distribuição de energia elétrica,770348800.0,,,
00045825165487,,,,,,,,,,,,,,,True
00008101441409,,,,,,,,,,,,,,,True
00005912051498,,,,,,,,,,,,,,,True
00010963256408,,,,,,,,,,,,,,,True
42092283000199,IDEMP EDUCACAO CORPORATIVA LTDA,,ATIVA,2021-05-26,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,RIO DE JANEIRO,RJ,3304557.0,8599604.0,Treinamento em desenvolvimento profissional e gerencial,5000.0,False,True,
00002710597454,,,,,,,,,,,,,,,True
50164115000190,EB TRAINING CAPACITACAO LTDA,EB TRAINING CAPACITACAO,ATIVA,2023-03-31,Sociedade Empresária Limitada,MICRO EMPRESA,CURITIBA,PR,4106902.0,8599604.0,Treinamento em desenvolvimento profissional e gerencial,30000.0,False,False,
00005317504422,,,,,,,,,,,,,,,True
52643251000198,SOCIEDADE BRASILEIRA PARA O PROGRESSO DA CIENCIA SBPC,,ATIVA,1983-06-17,Associação Privada,DEMAIS,SAO PAULO,SP,3550308.0,9499500.0,Atividades associativas não especificadas anteriormente,0.0,,,
53781159000157,SOCIEDADE BRASILEIRA DE CIENCIA EM ANIMAIS DE LABORATORIO - SBCAL,,ATIVA,1984-09-04,Associação Privada,DEMAIS,SAO PAULO,SP,3550308.0,9430800.0,Atividades de associações de defesa de direitos sociais,0.0,,,
14087594000124,MMP CURSOS CAPACITACAO E TREINAMENTO LTDA,MMP CURSOS - CAPACITACAO E TREINAMENTO PROFISSIONAL,ATIVA,2011-08-05,Sociedade Empresária Limitada,DEMAIS,BRASILIA,DF,5300108.0,8599604.0,Treinamento em desenvolvimento profissional e gerencial,11000.0,False,True,
00002232811409,,,,,,,,,,,,,,,True
35163143000107,35.163.143 JOSE ISMAEL DE LIRA SILVA,,ATIVA,2019-10-12,Empresário (Individual),MICRO EMPRESA,BELO JARDIM,PE,2601706.0,9001902.0,Produção musical,10000.0,True,True,
49764155000193,49.764.155 JURANDIR PEREIRA DE LIMA JUNIOR,,ATIVA,2023-03-01,Empresário (Individual),MICRO EMPRESA,BELO JARDIM,PE,2601706.0,1813099.0,Impressão de material para outros usos,1.0,True,True,
