codigoIbge,nomeMunicipio,uf,longitude,latitude
2600054,Abreu e Lima,PE,-34.99595172413793,-7.885200574712644
2600104,Afogados da Ingazeira,PE,-37.62485370370371,-7.713922222222222
2600203,Afrânio,PE,-41.05539307359307,-8.625805194805196
2600302,Agrestina,PE,-35.92812987012987,-8.436257792207792
2600401,Água Preta,PE,-35.49940595744681,-8.753093617021277
2600500,Águas Belas,PE,-37.007990060240964,-9.077903614457831
2600609,Alagoinha,PE,-36.749832258064515,-8.532624193548386
2600708,Aliança,PE,-35.17027386934674,-7.596887939698492
2600807,Altinho,PE,-36.06081707317073,-8.473039837398375
2600906,Amaraji,PE,-35.478218085106384,-8.369357446808511
2601003,Angelim,PE,-36.27793047619048,-8.846387619047619
2601052,Araçoiaba,PE,-35.072084496124035,-7.795801550387597
2601102,Araripina,PE,-40.52726728110599,-7.726991244239631
2601201,Arcoverde,PE,-37.00363057324841,-8.387250318471338
2601300,Barra de Guabiraba,PE,-35.62125606060606,-8.394592424242424
2601409,Barreiros,PE,-35.23382736842105,-8.812924736842104
2601508,Belém de Maria,PE,-35.82124653465347,-8.60480198019802
2601607,Belém do São Francisco,PE,-38.984518908382064,-8.53222261208577
2601706,Belo Jardim,PE,-36.414589003436426,-8.279900687285224
2601805,Betânia,PE,-38.001178931750744,-8.313982789317507
2601904,Bezerros,PE,-35.81245107296137,-8.264329613733906
2602001,Bodocó,PE,-39.960386294416246,-7.790158883248731
2602100,Bom Conselho,PE,-36.633370996978854,-9.198715709969788
2602209,Bom Jardim,PE,-35.58377403846154,-7.782812980769231
2602308,Bonito,PE,-35.69196830065359,-8.50875751633987
2602407,Brejão,PE,-36.5601275,-9.0269025
2602506,Brejinho,PE,-37.345917,-7.347091
2602605,Brejo da Madre de Deus,PE,-36.22298913043478,-8.058656832298137
2602704,Buenos Aires,PE,-35.361641666666664,-7.7510666666666665
2602803,Buíque,PE,-37.13818313253012,-8.740168975903615
2602902,Cabo de Santo Agostinho,PE,-35.09298167938931,-8.26702824427481
2603009,Cabrobó,PE,-39.34233152400835,-8.383662212943632
2603108,Cachoeirinha,PE,-36.311149056603774,-8.540205660377358
2603207,Caetés,PE,-36.630386982248524,-8.82511775147929
2603306,Calçado,PE,-36.3205625,-8.7925
2603405,Calumbi,PE,-38.05879375,-8.01400625
2603454,Camaragibe,PE,-34.99835462962963,-7.980412037037037
2603504,Camocim de São Félix,PE,-35.77089759036144,-8.345615662650603
2603603,Camutanga,PE,-35.29286351351352,-7.423855405405406
2603702,Canhotinho,PE,-36.18167625,-8.917075
2603801,Capoeiras,PE,-36.563865865384614,-8.706264423076924
2603900,Carnaíba,PE,-37.69934554973822,-7.771994240837697
2603926,Carnaubeira da Penha,PE,-38.76018297872341,-8.41441914893617
2604007,Carpina,PE,-35.32325044247788,-7.828365486725664
2604106,Caruaru,PE,-36.03756195965418,-8.179051296829972
2604155,Casinhas,PE,-35.71592173913044,-7.7711695652173916
2604205,Catende,PE,-35.759504210526316,-8.665138421052632
2604304,Cedro,PE,-39.22837578125,-7.723275
2604403,Chã de Alegria,PE,-35.21016195652174,-8.000392391304349
2604502,Chã Grande,PE,-35.46467916666667,-8.227954166666667
2604601,Condado,PE,-35.08172834645669,-7.591322834645669
2604700,Correntes,PE,-36.317123076923075,-9.127038461538461
2604809,Cortês,PE,-35.53014787234043,-8.446468085106384
2604908,Cumaru,PE,-35.735802325581396,-8.026798837209302
2605004,Cupira,PE,-35.906852,-8.578262
2605103,Custódia,PE,-37.69849545454545,-8.171722424242425
2605152,Dormentes,PE,-40.578626303317535,-8.433394549763033
2605202,Escada,PE,-35.282115555555556,-8.353445777777777
